task,task_no,source
"collect and analyze survey data, regulatory information, and data on demographic and employment trends to forecast enrollment patterns and curriculum change needs.","Samle inn og analysere spørreundersøkelser, regelverk og data om demografi og sysselsetting for å anslå søkertall og behov for endringer i studietilbudet.",manual 2026-09-07
"plan and develop instructional methods and content for educational, vocational, or student activity programs.","Planlegge og utvikle undervisningsmetoder og innhold for utdannings-, yrkes- og studentaktivitetsprogrammer.",manual 2026-09-07
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.","Besvare spørsmål om hotellets regler og tjenester, og håndtere klager fra gjestene.",manual 2026-09-07
"show, rent, or assign accommodations.","Vise frem, leie ut eller tildele rom.",manual 2026-09-07
"coordinate front-office activities of hotels or motels, and resolve problems.","Samordne resepsjonsarbeidet på hoteller eller moteller, og løse problemer.",manual 2026-09-07
"investigate and resolve complaints regarding food quality, service, or accommodations.","Undersøke og håndtere klager på matkvalitet, service eller overnatting.",manual 2026-09-07
"maintain food and equipment inventories, and keep inventory records.","Holde oversikt over beholdningen av mat og utstyr, og føre lagerregnskap.",manual 2026-09-07
"analyze research data to determine its significance, using computers.",Analysere forskningsdata med datamaskin for å fastslå betydningen av dem.,manual 2026-09-07
"perform complex calculations as part of the analysis and evaluation of data, using computers.",Utføre kompliserte beregninger med datamaskin som ledd i analyse og vurdering av data.,manual 2026-09-07
review scientific proposals and research papers.,Vurdere forskningssøknader og vitenskapelige artikler.,manual 2026-09-07
"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.","Beregne baner og bestemme størrelse, form, lysstyrke og bevegelse for ulike himmellegemer.",manual 2026-09-07
design computer simulations to model physical data so that it can be better understood.,Utforme datasimuleringer som modellerer fysiske data for å forstå dem bedre.,manual 2026-09-07
develop instrumentation and software for astronomical observation and analysis.,Utvikle instrumenter og programvare for astronomiske observasjoner og analyser.,manual 2026-09-07
"study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",Studere himmelfenomener med ulike bakke- og rombaserte teleskoper og vitenskapelige instrumenter.,manual 2026-09-07
develop and modify astronomy-related programs for public presentation.,Utvikle og tilpasse astronomiprogrammer for formidling til publikum.,manual 2026-09-07
"gather data from sources such as surface or upper air stations, satellites, weather bureaus, or radar for use in meteorological reports or forecasts.","Samle inn data fra kilder som bakke- og høydestasjoner, satellitter, meteorologiske institutter og radar til bruk i værrapporter og værvarsler.",manual 2026-09-07
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.","Analysere organiske og uorganiske forbindelser med kromatografi, spektroskopi eller spektrofotometri for å bestemme kjemiske og fysiske egenskaper, sammensetning, struktur, sammenhenger eller reaksjoner.",manual 2026-09-07
"perform experiments and computer modeling to study the nature, structure, and physical and chemical properties of metals and their alloys, and their responses to applied forces.","Utføre forsøk og datamodellering for å studere oppbygning, struktur og fysiske og kjemiske egenskaper hos metaller og legeringer, og hvordan de reagerer på påførte krefter.",manual 2026-09-07
confer with customers to determine how to tailor materials to their needs.,Rådføre seg med kunder for å finne ut hvordan materialer kan tilpasses deres behov.,manual 2026-09-07
"locate and review research articles or environmental, historical, or technical reports.","Finne og gjennomgå forskningsartikler eller miljømessige, historiske eller tekniske rapporter.",manual 2026-09-07
"prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.","Utarbeide skriftlige og muntlige rapporter om forskningsresultater med illustrasjoner, kart, vedlegg og annen informasjon.",manual 2026-09-07
"review applications for site plans and permits and recommend approval, denial, modification, or further investigative action.","Behandle søknader om reguleringsplaner og tillatelser, og anbefale godkjenning, avslag, endring eller nærmere undersøkelse.",manual 2026-09-07
"review, classify, and record survey data in preparation for computer analysis.","Gjennomgå, klassifisere og registrere undersøkelsesdata som forberedelse til dataanalyse.",manual 2026-09-07
prepare appropriate formatting to data sets as requested.,Formatere datasett etter forespørsel.,manual 2026-09-07
"prepare data for processing by organizing information, checking for any inaccuracies, and adjusting and weighting the raw data.","Klargjøre data for behandling ved å systematisere informasjonen, kontrollere for feil og justere og vekte rådataene.",manual 2026-09-07
"conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.","Forske for å utvide den matematiske kunnskapen på klassiske områder som algebra, geometri, sannsynlighetsteori og logikk.",manual 2026-09-07
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.","Behandle forholdet mellom mengder, størrelser og former ved hjelp av tall og symboler.",manual 2026-09-07
evaluate sources of information to determine any limitations in terms of reliability or usability.,Vurdere informasjonskilder for å avdekke begrensninger i pålitelighet eller anvendelighet.,manual 2026-09-07
"prepare data analysis listings and activity, performance, or progress reports.","Utarbeide dataanalyseoversikter og aktivitets-, resultat- eller fremdriftsrapporter.",manual 2026-09-07
"prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.","Utarbeide og presentere sammendrag og analyser av undersøkelsesdata, inkludert tabeller, grafer og faktaark som beskriver metode og resultater.",manual 2026-09-07
develop new principles and new relationships between existing mathematical principles to advance mathematical science.,Utvikle nye prinsipper og nye sammenhenger mellom eksisterende matematiske prinsipper for å bringe matematikken videre.,manual 2026-09-07
"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them.","Dele opp systemer i bestanddeler, tilordne tallverdier til hver del og undersøke de matematiske sammenhengene mellom dem.",manual 2026-09-07
write program code to analyze data using statistical analysis software.,Skrive programkode for å analysere data i statistikkprogramvare.,manual 2026-09-07
analyze information obtained from management to conceptualize and define operational problems.,Analysere informasjon fra ledelsen for å konkretisere og definere driftsproblemer.,manual 2026-09-07
conduct research to gather information about survey topics.,Innhente bakgrunnsinformasjon om temaene for undersøkelsen.,manual 2026-09-07
"identify relationships and trends in data, as well as any factors that could affect the results of research.","Finne sammenhenger og trender i data, og faktorer som kan påvirke forskningsresultatene.",manual 2026-09-07
prepare management reports defining and evaluating problems and recommending solutions.,Utarbeide rapporter til ledelsen som definerer og vurderer problemer og anbefaler løsninger.,manual 2026-09-07
develop new software applications or customize existing applications to meet specific scientific project needs.,Utvikle nye programmer eller tilpasse eksisterende programmer til behovene i konkrete forskningsprosjekter.,manual 2026-09-07
"prepare reports or recommendations, based upon research outcomes.",Utarbeide rapporter eller anbefalinger basert på forskningsresultater.,manual 2026-09-07
"provide statistical and computational tools for biologically based activities such as genetic analysis, measurement of gene expression, and gene function determination.","Levere statistiske og beregningsmessige verktøy til biologiske oppgaver som genetisk analyse, måling av genuttrykk og bestemmelse av genfunksjon.",manual 2026-09-07
"prepare reports, manuscripts, and meeting presentations.","Utarbeide rapporter, manuskripter og presentasjoner til møter.",manual 2026-09-07
analyze characteristics of animals to identify and classify them.,Analysere kjennetegn ved dyr for å identifisere og klassifisere dem.,manual 2026-09-07
evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses.,Vurdere genetiske data ved hjelp av egnede matematiske og statistiske beregninger og analyser.,manual 2026-09-07
"review, approve, or interpret genetic laboratory results.","Gjennomgå, godkjenne eller tolke genetiske laboratorieresultater.",manual 2026-09-07
prepare results of experimental findings for presentation at professional conferences or in scientific journals.,Klargjøre forsøksresultater for presentasjon på fagkonferanser eller i vitenskapelige tidsskrifter.,manual 2026-09-07
prepare technical reports and recommendations based upon research outcomes.,Utarbeide tekniske rapporter og anbefalinger basert på forskningsresultater.,manual 2026-09-07
"conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.","Drive anvendt forskning for å oppnå forbedringer på områder som sykdomstesting, avlingskvalitet, legemidler og bruk av mikrober til gjenvinning av avfall.",manual 2026-09-07
"participate in all levels of bioproduct development, including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches.","Delta i alle trinn av bioproduktutvikling, inkludert å foreslå nye produkter, utføre markedsanalyser, planlegge og gjennomføre forsøk og samarbeide med drifts- og kvalitetskontrollteam ved produktlanseringer.",manual 2026-09-07
search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.,Søke i vitenskapelig litteratur for å velge og tilpasse de metodene og prosedyrene som passer best for målene i den genetiske forskningen.,manual 2026-09-07
study the structure and composition of food or the changes foods undergo in storage and processing.,"Studere strukturen og sammensetningen i matvarer, eller endringene de gjennomgår ved lagring og bearbeiding.",manual 2026-09-07
"examine physiological, morphological, and cultural characteristics, using microscope, to identify and classify microorganisms in human, water, and food specimens.","Undersøke fysiologiske, morfologiske og dyrkningsmessige kjennetegn i mikroskop for å identifisere og klassifisere mikroorganismer i prøver fra mennesker, vann og mat.",manual 2026-09-07
"compile data for use in activities such as gene expression profiling, genome annotation, and structural bioinformatics.","Sette sammen data til bruk i oppgaver som genuttrykksprofilering, genomannotering og strukturell bioinformatikk.",manual 2026-09-07
"communicate research or project results to other professionals or the public or teach related courses, seminars, or workshops.","Formidle forsknings- eller prosjektresultater til fagfolk eller allmennheten, eller undervise i tilhørende kurs, seminarer og workshoper.",manual 2026-09-07
maintain records of services provided and the effects of advice given.,Føre oversikt over utførte tjenester og virkningen av rådene som er gitt.,manual 2026-09-07
"identify or classify species of insects or allied forms, such as mites or spiders.",Identifisere eller klassifisere arter av insekter og beslektede grupper som midd og edderkopper.,manual 2026-09-07
"collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples.","Samle inn, sammenstille, analysere, forvalte og rapportere miljødata som utslippsmålinger, atmosfæreovervåking, meteorologisk eller mineralogisk informasjon og jord- og vannprøver.",manual 2026-09-07
determine data collection methods to be employed in research projects or surveys.,Fastsette datainnsamlingsmetoder for forskningsprosjekter eller undersøkelser.,manual 2026-09-07
"plan or develop research models, using knowledge of mathematical and statistical concepts.",Planlegge eller utvikle forskningsmodeller basert på matematiske og statistiske begreper.,manual 2026-09-07
"process and review environmental permits, licenses, or related materials.","Behandle og gjennomgå miljøtillatelser, konsesjoner og tilhørende dokumenter.",manual 2026-09-07
examine societal issues and their relationship with both technical systems and the environment.,Undersøke samfunnsspørsmål og hvordan de henger sammen med både tekniske systemer og miljøet.,manual 2026-09-07
review grant applications or make funding recommendations.,Vurdere søknader om tilskudd eller gi anbefalinger om finansiering.,manual 2026-09-07
evaluate violations or problems discovered during inspections to determine appropriate regulatory actions or to provide advice on the development and prosecution of regulatory cases.,"Vurdere brudd eller problemer avdekket ved tilsyn for å avgjøre egnede reaksjoner, eller gi råd om oppbygging og forfølgelse av tilsynssaker.",manual 2026-09-07
"conduct interviews or surveys of users or customers to collect information on topics such as requirements, needs, fatigue, ergonomics, or interfaces.","Gjennomføre intervjuer eller spørreundersøkelser blant brukere eller kunder om temaer som krav, behov, tretthet, ergonomi eller grensesnitt.",manual 2026-09-07
"operate testing equipment, such as heat stress meters, octave band analyzers, motion analysis equipment, inclinometers, light meters, velometers, sling psychrometers, or colormetric detection tubes.","Betjene måleutstyr som varmebelastningsmålere, oktavbåndanalysatorer, bevegelsesanalyseutstyr, inklinometre, lysmålere, lufthastighetsmålere, slyngpsykrometre og kolorimetriske deteksjonsrør.",manual 2026-09-07
"investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.","Undersøke teoretiske eller konseptuelle spørsmål, som menneskelige hensyn ved utforming av månelandere eller boenheter i rommet.",manual 2026-09-07
investigate or test specific construction project materials to determine compliance to specifications or standards.,Undersøke eller teste materialer i byggeprosjekter for å kontrollere at de oppfyller spesifikasjoner eller standarder.,manual 2026-09-07
"provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.","Gi administrativ støtte til prosjekter ved å samle inn data, levere prosjektdokumentasjon, lære opp ansatte eller utføre andre administrative oppgaver.",manual 2026-09-07
provide technical customer service.,Gi teknisk kundeservice.,manual 2026-09-07
solicit new business.,Skaffe nye oppdrag.,manual 2026-09-07
"write, review, or maintain engineering documentation.","Skrive, gjennomgå eller vedlikeholde teknisk dokumentasjon.",manual 2026-09-07
"read and interpret blueprints, technical drawings, schematics, or computer-generated reports.","Lese og tolke arbeidstegninger, tekniske tegninger, koblingsskjemaer eller datagenererte rapporter.",manual 2026-09-07
evaluate and approve selection of vendors by studying past performance or new advertisements.,Vurdere og godkjenne valg av leverandører ut fra tidligere leveranser eller nye tilbud.,manual 2026-09-07
prepare or present technical or project status reports.,Utarbeide eller presentere tekniske rapporter eller statusrapporter for prosjekter.,manual 2026-09-07
"write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.","Skrive tekniske rapporter eller annen dokumentasjon, som håndbøker og meldinger, til bruk for ingeniører, ledelse eller kunder.",manual 2026-09-07
analyze data to determine feasibility of product proposals.,Analysere data for å vurdere om produktforslag lar seg gjennomføre.,manual 2026-09-07
analyze system performance or operational requirements.,Analysere systemytelse eller driftskrav.,manual 2026-09-07
"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models.","Utforme og lede kjernefysiske forskningsprosjekter for å avdekke fakta, teste eller justere teoretiske modeller, eller utvikle nye modeller eller nye bruksområder for eksisterende modeller.",manual 2026-09-07
"prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.","Utarbeide tekniske rapporter, datasammendrag eller forskningsartikler til vitenskapelig publisering, innsending til myndigheter eller patentsøknader.",manual 2026-09-07
"analyze, interpret, or create graphical representations of energy data, using engineering software.","Analysere, tolke eller lage grafiske fremstillinger av energidata med teknisk programvare.",manual 2026-09-07
debug robotics programs.,Feilsøke robotprogrammer.,manual 2026-09-07
provide technical support for robotic systems.,Gi teknisk støtte til robotsystemer.,manual 2026-09-07
"design software to control robotic systems for applications, such as military defense or manufacturing.",Utforme programvare som styrer robotsystemer for bruksområder som forsvar eller industriproduksjon.,manual 2026-09-07
write reports or research proposals.,Skrive rapporter eller forskningssøknader.,manual 2026-09-07
prepare project reports and other program or technical documentation.,Utarbeide prosjektrapporter og annen program- eller teknisk dokumentasjon.,manual 2026-09-07
"create, populate, or maintain databases for tracking validation activities, test results, or validated systems.","Opprette, fylle eller vedlikeholde databaser for å følge opp valideringsaktiviteter, testresultater eller validerte systemer.",manual 2026-09-07
"synthesize analyses of test results, and use the results to prepare technical reports of findings and recommendations.",Sammenstille analyser av testresultater og bruke dem til å utarbeide tekniske rapporter med funn og anbefalinger.,manual 2026-09-07
"conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals.","Forske sammen med biologer, kjemikere og medisinske forskere på de tekniske sidene ved biologiske systemer hos mennesker og dyr.",manual 2026-09-07
"document robotic application development, maintenance, or changes.","Dokumentere utvikling, vedlikehold og endringer av robotapplikasjoner.",manual 2026-09-07
"prepare reports, deliver presentations, or participate in program review activities to communicate engineering results or recommendations.","Utarbeide rapporter, holde presentasjoner eller delta i programgjennomganger for å formidle tekniske resultater eller anbefalinger.",manual 2026-09-07
promote awareness or use of alternative or renewable energy sources.,Fremme kjennskap til og bruk av alternative eller fornybare energikilder.,manual 2026-09-07
"estimate labor, material, or construction costs for budget preparation purposes.","Anslå arbeids-, material- og byggekostnader til bruk i budsjettering.",manual 2026-09-07
"collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.","Samle inn data om nærings- og boligutbygging, befolkning og sammenkobling av kraftsystemer for å vurdere driftseffektiviteten i elektriske anlegg.",manual 2026-09-07
"conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.","Gjennomføre feltundersøkelser eller studere kart, grafer, diagrammer og andre data for å finne og rette feil i kraftsystemet.",manual 2026-09-07
"prepare technical drawings, specifications of electrical systems, or topographical maps to ensure that installation and operations conform to standards and customer requirements.","Utarbeide tekniske tegninger, spesifikasjoner for elektriske anlegg eller topografiske kart for å sikre at installasjon og drift følger standarder og kundens krav.",manual 2026-09-07
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.","Lagre, hente og bearbeide data for å analysere systemets kapasitet og krav.",manual 2026-09-07
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.","Analysere informasjon for å fastsette, anbefale og planlegge oppsett, inkludert type datamaskiner og endringer i periferutstyr.",manual 2026-09-07
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.","Utforme elektroniske komponenter, programvare, produkter eller systemer til kommersiell, industriell, medisinsk, militær eller vitenskapelig bruk.",manual 2026-09-07
provide technical support or instruction to staff or customers regarding electronics equipment standards.,Gi teknisk støtte eller opplæring til ansatte eller kunder om standarder for elektronisk utstyr.,manual 2026-09-07
"prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.","Utarbeide, gjennomgå eller vedlikeholde vedlikeholdsplaner, konstruksjonsdokumentasjon og driftsrapporter eller -diagrammer.",manual 2026-09-07
write detailed functional specifications that document the hardware development process and support hardware introduction.,Skrive detaljerte funksjonsspesifikasjoner som dokumenterer utviklingsprosessen for maskinvare og støtter innføringen av den.,manual 2026-09-07
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.","Analysere krav, kapasitet, kostnader og kundebehov for elektroniske systemer for å vurdere om prosjektet er gjennomførbart.",manual 2026-09-07
analyze user needs and recommend appropriate hardware.,Analysere brukerbehov og anbefale egnet maskinvare.,manual 2026-09-07
"develop or perform operational, maintenance, or testing procedures for electronic products, components, equipment, or systems.","Utvikle eller utføre drifts-, vedlikeholds- og testprosedyrer for elektroniske produkter, komponenter, utstyr eller systemer.",manual 2026-09-07
"collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (rfid) technology.","Samle inn data om kundens eksisterende maskinvare, programvare, nettverk og sentrale forretningsprosesser som grunnlag for innføring av RFID-teknologi.",manual 2026-09-07
prepare contract documents for building contractors.,Utarbeide kontraktsdokumenter for entreprenører.,manual 2026-09-07
"develop marketing materials, proposals, or presentation to generate new work opportunities.","Utarbeide markedsføringsmateriell, tilbud eller presentasjoner for å skaffe nye oppdrag.",manual 2026-09-07
administer construction contracts.,Forvalte entreprisekontrakter.,manual 2026-09-07
gather information related to projects' environmental sustainability or operational efficiency.,Innhente informasjon om prosjekters miljømessige bærekraft eller driftseffektivitet.,manual 2026-09-07
read scripts and consult directors and other production staff to develop design concepts and plan productions.,Lese manus og rådføre seg med regissører og annen produksjonsstab for å utvikle designkonsepter og planlegge produksjoner.,manual 2026-09-07
"read publications, attend showings, and study competing products and design styles and motifs to obtain perspective and generate design concepts.","Lese publikasjoner, gå på visninger og studere konkurrerende produkter, designstiler og motiver for å få perspektiv og utvikle designkonsepter.",manual 2026-09-07
"identify target markets for designs, looking at factors such as age, gender, and socioeconomic status.","Identifisere målgrupper for design ut fra faktorer som alder, kjønn og sosioøkonomisk status.",manual 2026-09-07
"design custom clothing and accessories for individuals, retailers, or theatrical, television, or film productions.","Designe skreddersydde klær og tilbehør for privatpersoner, forhandlere eller teater-, TV- og filmproduksjoner.",manual 2026-09-07
investigate property availability for purposes of development.,Undersøke tilgjengelige eiendommer med tanke på utbygging.,manual 2026-09-07
determine guidelines that specify which source material is acceptable for use.,Fastsette retningslinjer for hvilket kildemateriale som kan brukes.,manual 2026-09-07
build and update digital databases.,Bygge og oppdatere digitale databaser.,manual 2026-09-07
develop criteria for the design and modification of survey instruments.,Utvikle kriterier for utforming og endring av spørreskjemaer.,manual 2026-09-07
prepare progress or technical reports.,Utarbeide fremdriftsrapporter eller tekniske rapporter.,manual 2026-09-07
use models to simulate the behavior of animated objects in the finished sequence.,Bruke modeller til å simulere hvordan animerte objekter oppfører seg i den ferdige sekvensen.,manual 2026-09-07
use computer software to generate new images.,Bruke programvare til å lage nye bilder.,manual 2026-09-07
"develop briefings, brochures, multimedia presentations, web pages, promotional products, technical illustrations, and computer artwork for use in products, technical manuals, literature, newsletters, and slide shows.","Utarbeide orienteringer, brosjyrer, multimediepresentasjoner, nettsider, reklameprodukter, tekniske illustrasjoner og digital grafikk til bruk i produkter, tekniske håndbøker, trykksaker, nyhetsbrev og lysbildeserier.",manual 2026-09-07
"determine size and arrangement of illustrative material and copy, and select style and size of type.","Bestemme størrelse og plassering av illustrasjoner og tekst, og velge skrifttype og skriftstørrelse.",manual 2026-09-07
"script, plan, and create animated narrative sequences under tight deadlines, using computer software and hand drawing techniques.","Skrive manus til, planlegge og lage animerte fortellersekvenser under stramme tidsfrister ved hjelp av programvare og håndtegning.",manual 2026-09-07
"develop graphics and layouts for product illustrations, company logos, and web sites.","Utvikle grafikk og layout til produktillustrasjoner, firmalogoer og nettsider.",manual 2026-09-07
"study illustrations and photographs to plan presentation of materials, products, or services.","Studere illustrasjoner og fotografier for å planlegge presentasjon av materiell, produkter eller tjenester.",manual 2026-09-07
"document the performance, interpretation, or outcomes of all procedures performed.","Dokumentere gjennomføring, tolkning og resultat av alle utførte prosedyrer.",manual 2026-09-07
prepare comprehensive interpretive reports of findings.,Utarbeide utfyllende tolkningsrapporter om funnene.,manual 2026-09-07
"collect, record, and maintain patient information, such as medical history, reports, and examination results.","Samle inn, registrere og vedlikeholde pasientopplysninger som sykehistorie, rapporter og undersøkelsesresultater.",manual 2026-09-07
"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.","Diagnostisere sykdommer eller studere medisinske tilstander med teknikker som makroskopisk patologi, histologi, cytologi, cytopatologi, klinisk kjemi, immunologi, flowcytometri og molekylærbiologi.",manual 2026-09-07
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.","Analysere journaler, rapporter, prøvesvar og undersøkelsesfunn for å stille diagnose.",manual 2026-09-07
"educate patients about diagnoses, prognoses, or treatments.","Informere pasienter om diagnose, prognose og behandling.",manual 2026-09-07
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).","Analysere og tolke resultater fra prøver som mikrobe- og parasittester, urinanalyser, hormonanalyser, finnålsaspirasjon (FNA) og PCR.",manual 2026-09-07
"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.","Utarbeide individuelle behandlingsplaner ut fra pasientens ønsker, kliniske data og risiko og nytte ved behandlingene.",manual 2026-09-07
conduct research and present scientific findings.,Drive forskning og presentere vitenskapelige funn.,manual 2026-09-07
interpret imaging data and confer with other medical specialists to formulate diagnoses.,Tolke bildediagnostikk og rådføre seg med andre legespesialister for å stille diagnoser.,manual 2026-09-07
explain procedures and discuss test results or prescribed treatments with patients.,Forklare prosedyrer og drøfte prøvesvar eller foreskrevet behandling med pasientene.,manual 2026-09-07
examine microscopic samples to identify diseases or other abnormalities.,Undersøke prøver i mikroskop for å påvise sykdom eller andre avvik.,manual 2026-09-07
"collect, record, and maintain patient information, such as medical histories, reports, and examination results.","Samle inn, registrere og vedlikeholde pasientopplysninger som sykehistorier, rapporter og undersøkelsesresultater.",manual 2026-09-07
review or transmit images and information using picture archiving or communications systems.,Gjennomgå eller overføre bilder og informasjon via bildearkiv- og kommunikasjonssystemer (PACS).,manual 2026-09-07
interpret diagnostic test results to make appropriate differential diagnoses.,Tolke diagnostiske prøvesvar for å stille riktige differensialdiagnoser.,manual 2026-09-07
compile and analyze data obtained from monitoring or diagnostic tests.,Sammenstille og analysere data fra overvåking eller diagnostiske tester.,manual 2026-09-07
provide patients or caregivers with assistance in locating health care resources.,Hjelpe pasienter eller pårørende med å finne fram til helsetjenester.,manual 2026-09-07
direct or provide home health services.,Lede eller yte hjemmebaserte helsetjenester.,manual 2026-09-07
"educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.","Informere pasienter og pårørende om psykisk helse og medisinske tilstander, forebyggende tiltak, legemidler og behandlingsplaner.",manual 2026-09-07
prepare reports to document patients' care activities.,Utarbeide rapporter som dokumenterer pleien pasientene har fått.,manual 2026-09-07
assist patients in organizing their health care system activities.,Hjelpe pasienter med å organisere kontakten med helsevesenet.,manual 2026-09-07
"monitor, record, and report symptoms or changes in patients' conditions.","Overvåke, registrere og rapportere symptomer eller endringer i pasientenes tilstand.",manual 2026-09-07
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.","Analysere og tolke pasientenes sykehistorie, symptomer, kliniske funn og diagnostisk informasjon for å stille riktig diagnose.",manual 2026-09-07
present clients with information required to make informed health care and treatment decisions.,Gi brukerne den informasjonen de trenger for å ta informerte valg om helsehjelp og behandling.,manual 2026-09-07
evaluate the quality and effectiveness of nursing practice or organizational systems.,Vurdere kvaliteten og effekten av sykepleiepraksis eller organisatoriske systemer.,manual 2026-09-07
monitor patients' medication usage and results.,Følge opp pasientenes legemiddelbruk og virkningen av den.,manual 2026-09-07
interpret diagnostic or laboratory tests such as electrocardiograms (ekgs) and renal functioning tests.,Tolke diagnostiske prøver og laboratorieprøver som EKG og nyrefunksjonsprøver.,manual 2026-09-07
"make clinical recommendations to physicians, other health care providers, insurance companies, patients, or health care organizations.","Gi kliniske anbefalinger til leger, annet helsepersonell, forsikringsselskaper, pasienter eller helseorganisasjoner.",manual 2026-09-07
document patients' medical histories and assessment findings.,Dokumentere pasientenes sykehistorie og funn fra vurderinger.,manual 2026-09-07
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.","Gi dyreeiere råd om hygiene, fôring, stell, medisinske tilstander og behandlingsalternativer.",manual 2026-09-07
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.","Gi pasienter råd og veiledning om forebyggende tannpleie, årsaker til og behandling av tannproblemer, og tannhelsetjenester.",manual 2026-09-07
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,Analysere eller vurdere tannhelsebehov for å avdekke endringer eller trender i forekomsten av tannsykdommer.,manual 2026-09-07
prepare diagnostic and treatment records.,Føre journal over diagnoser og behandling.,manual 2026-09-07
"assess the identity, strength, or purity of medications.","Kontrollere legemidlers identitet, styrke og renhet.",manual 2026-09-07
"compound and dispense medications as prescribed by doctors and dentists, by calculating, weighing, measuring, and mixing ingredients, or oversee these activities.","Tilberede og utlevere legemidler etter resept fra lege eller tannlege ved å beregne, veie, måle og blande ingredienser, eller føre tilsyn med dette arbeidet.",manual 2026-09-07
"plan, implement, or maintain procedures for mixing, packaging, or labeling pharmaceuticals, according to policy and legal requirements, to ensure quality, security, and proper disposal.","Planlegge, innføre eller vedlikeholde rutiner for blanding, pakking og merking av legemidler i tråd med retningslinjer og lovkrav, for å sikre kvalitet, sikkerhet og forsvarlig avhending.",manual 2026-09-07
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,Analysere forskrivningsmønstre for å følge opp pasientenes etterlevelse og forebygge overforbruk eller skadelige interaksjoner.,manual 2026-09-07
"document activities and record information, such as the numbers of applications completed, presentations conducted, and persons assisted.","Dokumentere aktiviteter og registrere opplysninger som antall behandlede søknader, gjennomførte presentasjoner og personer som har fått hjelp.",manual 2026-09-07
"prepare and distribute health education materials, such as reports, bulletins, and visual aids, to address smoking, vaccines, and other public health concerns.","Utarbeide og distribuere helseopplysningsmateriell som rapporter, informasjonsskriv og visuelle hjelpemidler om røyking, vaksiner og andre folkehelsespørsmål.",manual 2026-09-07
"develop educational materials and programs for community agencies, local government, and state government.","Utvikle opplæringsmateriell og programmer for lokale organisasjoner, kommuner og delstatsmyndigheter.",manual 2026-09-07
interpret exercise program participant data to evaluate progress or identify needed program changes.,Tolke data om deltakere i treningsprogrammer for å vurdere fremgang eller finne nødvendige endringer i programmet.,manual 2026-09-07
"prescribe individualized exercise programs, specifying equipment such as treadmill, exercise bicycle, ergometers, or perceptual goggles.","Foreskrive individuelle treningsprogrammer og angi utstyr som tredemølle, ergometersykkel, ergometre eller persepsjonsbriller.",manual 2026-09-07
"provide educational information about physical therapy or physical therapists, injury prevention, ergonomics, or ways to promote health.","Gi informasjon om fysioterapi og fysioterapeuter, skadeforebygging, ergonomi og måter å fremme helse på.",manual 2026-09-07
