O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
13-1022.00	19551	RT	n/a	42.86	81	8.0617	28.0367	59.0864	N	07/2015	Incumbent
13-1023.00	1146	IM	n/a	4.85	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1146	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1142	IM	n/a	4.55	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1142	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1159	IM	n/a	4.40	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1159	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1143	IM	n/a	4.40	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1143	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1157	IM	n/a	4.25	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1157	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1145	IM	n/a	4.20	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1145	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1156	IM	n/a	4.16	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1156	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1144	IM	n/a	4.16	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1144	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1150	IM	n/a	4.05	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1150	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1147	IM	n/a	4.05	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1147	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1153	IM	n/a	3.83	18	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1153	RT	n/a	90.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1149	IM	n/a	3.74	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1149	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1151	IM	n/a	3.74	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1151	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1158	IM	n/a	3.68	19	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1158	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1148	IM	n/a	3.59	17	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1148	RT	n/a	85.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1152	IM	n/a	3.45	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1152	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1160	IM	n/a	3.45	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1160	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1155	IM	n/a	3.00	13	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1155	RT	n/a	65.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1154	IM	n/a	2.94	18	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1023.00	1154	RT	n/a	90.00	20	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
13-1031.00	21417	IM	n/a	4.79	79	0.0740	4.6389	4.9333	N	08/2022	Incumbent
13-1031.00	21417	RT	n/a	100.00	81	0.0000	n/a	n/a	N	08/2022	Incumbent
13-1031.00	21418	IM	n/a	4.76	78	0.0704	4.6199	4.9002	N	08/2022	Incumbent
13-1031.00	21418	RT	n/a	98.45	81	1.2624	92.4567	99.6960	N	08/2022	Incumbent
13-1031.00	21426	IM	n/a	4.75	37	0.0737	4.6011	4.9002	N	08/2022	Incumbent
13-1031.00	21426	RT	n/a	89.46	43	6.8431	66.2413	97.3465	N	08/2022	Incumbent
13-1031.00	21423	IM	n/a	4.74	39	0.0690	4.6006	4.8801	N	08/2022	Incumbent
13-1031.00	21423	RT	n/a	91.79	44	5.4099	72.4396	97.9415	N	08/2022	Incumbent
13-1031.00	21428	IM	n/a	4.68	40	0.1174	4.4403	4.9153	N	08/2022	Incumbent
13-1031.00	21428	RT	n/a	97.30	44	1.9151	89.2326	99.3649	N	08/2022	Incumbent
13-1031.00	21419	IM	n/a	4.67	78	0.1647	4.3375	4.9934	N	08/2022	Incumbent
13-1031.00	21419	RT	n/a	98.66	81	0.8769	95.1572	99.6411	N	08/2022	Incumbent
13-1031.00	21420	IM	n/a	4.63	64	0.0559	4.5155	4.7391	N	08/2022	Incumbent
13-1031.00	21420	RT	n/a	80.51	80	8.3595	58.8568	92.2636	N	08/2022	Incumbent
13-1031.00	21421	IM	n/a	4.62	74	0.0476	4.5247	4.7143	N	08/2022	Incumbent
13-1031.00	21421	RT	n/a	94.71	81	3.1326	83.7625	98.4174	N	08/2022	Incumbent
13-1031.00	21422	IM	n/a	4.59	77	0.1217	4.3495	4.8341	N	08/2022	Incumbent
13-1031.00	21422	RT	n/a	99.47	79	0.5513	95.8850	99.9344	N	08/2022	Incumbent
13-1031.00	21429	IM	n/a	4.57	38	0.1182	4.3296	4.8086	N	08/2022	Incumbent
13-1031.00	21429	RT	n/a	94.58	44	3.8045	79.6191	98.7332	N	08/2022	Incumbent
13-1031.00	21425	IM	n/a	4.49	37	0.1440	4.1943	4.7784	N	08/2022	Incumbent
13-1031.00	21425	RT	n/a	81.93	44	6.3586	65.5966	91.5095	N	08/2022	Incumbent
13-1031.00	21424	IM	n/a	4.43	40	0.1529	4.1226	4.7413	N	08/2022	Incumbent
13-1031.00	21424	RT	n/a	98.27	44	1.7437	87.7986	99.7765	N	08/2022	Incumbent
13-1031.00	21432	IM	n/a	4.41	37	0.1121	4.1846	4.6391	N	08/2022	Incumbent
13-1031.00	21432	RT	n/a	87.81	43	5.9867	69.9713	95.7059	N	08/2022	Incumbent
13-1031.00	21427	IM	n/a	4.39	37	0.1881	4.0132	4.7760	N	08/2022	Incumbent
13-1031.00	21427	RT	n/a	77.30	44	8.6291	55.8130	90.1771	N	08/2022	Incumbent
13-1031.00	21434	IM	n/a	4.29	38	0.1319	4.0234	4.5578	N	08/2022	Incumbent
13-1031.00	21434	RT	n/a	84.41	44	6.4084	66.9741	93.5313	N	08/2022	Incumbent
13-1031.00	21430	IM	n/a	4.29	74	0.0834	4.1199	4.4522	N	08/2022	Incumbent
13-1031.00	21430	RT	n/a	96.90	80	1.7002	91.0163	98.9768	N	08/2022	Incumbent
13-1031.00	21431	IM	n/a	4.26	57	0.0850	4.0857	4.4263	N	08/2022	Incumbent
13-1031.00	21431	RT	n/a	72.95	78	8.1455	54.2397	85.9817	N	08/2022	Incumbent
13-1031.00	21433	IM	n/a	4.04	37	0.1806	3.6697	4.4024	N	08/2022	Incumbent
13-1031.00	21433	RT	n/a	90.88	44	3.6391	80.4318	96.0223	N	08/2022	Incumbent
13-1031.00	21435	IM	n/a	3.94	40	0.1699	3.5972	4.2846	N	08/2022	Incumbent
13-1031.00	21435	RT	n/a	93.18	43	2.9058	84.4460	97.1708	N	08/2022	Incumbent
13-1031.00	21439	IM	n/a	3.81	32	0.2960	3.2050	4.4124	N	08/2022	Incumbent
13-1031.00	21439	RT	n/a	73.24	44	5.1551	61.6871	82.3045	N	08/2022	Incumbent
13-1031.00	21443	IM	n/a	3.71	33	0.3157	3.0716	4.3577	N	08/2022	Incumbent
13-1031.00	21443	RT	n/a	84.49	43	8.7393	58.6441	95.4369	N	08/2022	Incumbent
13-1031.00	21436	IM	n/a	4.17	25	0.2543	3.6410	4.6906	N	08/2022	Incumbent
13-1031.00	21436	RT	n/a	51.77	44	7.5013	36.9380	66.3039	N	08/2022	Incumbent
13-1031.00	21437	IM	n/a	4.01	25	0.1114	3.7790	4.2390	N	08/2022	Incumbent
13-1031.00	21437	RT	n/a	62.01	43	7.8610	45.4228	76.1908	N	08/2022	Incumbent
13-1031.00	21440	IM	n/a	3.95	26	0.2245	3.4880	4.4127	N	08/2022	Incumbent
13-1031.00	21440	RT	n/a	61.99	44	10.7476	39.3932	80.3596	N	08/2022	Incumbent
13-1031.00	21441	IM	n/a	3.70	22	0.1911	3.3058	4.1005	N	08/2022	Incumbent
13-1031.00	21441	RT	n/a	50.24	44	10.9407	29.4598	70.9304	N	08/2022	Incumbent
13-1031.00	21438	IM	n/a	3.70	29	0.2812	3.1247	4.2769	N	08/2022	Incumbent
13-1031.00	21438	RT	n/a	32.81	78	5.5524	22.8209	44.6367	N	08/2022	Incumbent
13-1031.00	21442	IM	n/a	2.94	32	0.3578	2.2069	3.6665	N	08/2022	Incumbent
13-1031.00	21442	RT	n/a	37.28	81	5.9817	26.3208	49.7214	N	08/2022	Incumbent
13-1032.00	7249	IM	n/a	4.74	55	0.0682	4.5993	4.8727	N	07/2016	Incumbent
13-1032.00	7249	RT	n/a	94.03	57	5.5582	68.4161	99.1354	N	07/2016	Incumbent
13-1032.00	7247	IM	n/a	4.72	57	0.0613	4.5994	4.8449	N	07/2016	Incumbent
13-1032.00	7247	RT	n/a	100.00	57	0.0000	n/a	n/a	N	07/2016	Incumbent
13-1032.00	7248	IM	n/a	4.71	53	0.0738	4.5647	4.8610	N	07/2016	Incumbent
13-1032.00	7248	RT	n/a	99.39	57	0.5156	96.7227	99.8905	N	07/2016	Incumbent
13-1032.00	7251	IM	n/a	4.67	53	0.0998	4.4696	4.8703	N	07/2016	Incumbent
13-1032.00	7251	RT	n/a	93.73	57	5.5556	69.2294	99.0034	N	07/2016	Incumbent
13-1032.00	7246	IM	n/a	4.65	53	0.0865	4.4778	4.8250	N	07/2016	Incumbent
13-1032.00	7246	RT	n/a	99.39	57	0.5156	96.7227	99.8905	N	07/2016	Incumbent
13-1032.00	7250	IM	n/a	4.09	51	0.3205	3.4473	4.7347	N	07/2016	Incumbent
13-1032.00	7250	RT	n/a	88.33	57	7.9110	61.9315	97.2393	N	07/2016	Incumbent
13-1032.00	7252	IM	n/a	3.42	42	0.3079	2.8026	4.0463	N	07/2016	Incumbent
13-1032.00	7252	RT	n/a	75.00	57	9.5502	51.9562	89.2738	N	07/2016	Incumbent
13-1041.00	21446	IM	n/a	4.40	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21446	RT	n/a	85.28	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21447	IM	n/a	4.38	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21447	RT	n/a	84.07	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21448	IM	n/a	4.37	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21448	RT	n/a	84.91	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21449	IM	n/a	4.30	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21449	RT	n/a	72.36	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21450	IM	n/a	4.18	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21450	RT	n/a	76.27	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21451	IM	n/a	4.06	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21451	RT	n/a	74.46	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21452	IM	n/a	4.52	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21452	RT	n/a	60.95	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21453	IM	n/a	4.45	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21453	RT	n/a	40.62	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21454	IM	n/a	4.39	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21454	RT	n/a	33.04	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21455	IM	n/a	4.38	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21455	RT	n/a	53.22	n/a	n/a	n/a	n/a	Y	11/2020	Analyst - Transition
13-1041.00	21456	IM	n/a	4.28	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21456	RT	n/a	40.14	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21457	IM	n/a	4.07	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.00	21457	RT	n/a	64.28	n/a	n/a	n/a	n/a	N	11/2020	Analyst - Transition
13-1041.01	10829	IM	n/a	4.71	17	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10829	RT	n/a	85.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10831	IM	n/a	4.70	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10831	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10835	IM	n/a	4.53	15	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10835	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10841	IM	n/a	4.53	17	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10841	RT	n/a	85.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10832	IM	n/a	4.47	19	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10832	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10837	IM	n/a	4.47	19	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10837	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10839	IM	n/a	4.40	15	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10839	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10843	IM	n/a	4.28	18	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10843	RT	n/a	90.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10834	IM	n/a	4.25	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10834	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10830	IM	n/a	4.24	17	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10830	RT	n/a	85.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10833	IM	n/a	4.07	14	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10833	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10842	IM	n/a	4.07	15	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10842	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10838	IM	n/a	3.93	14	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10838	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10840	IM	n/a	3.74	19	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10840	RT	n/a	95.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10850	IM	n/a	3.20	15	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10850	RT	n/a	75.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10836	IM	n/a	4.33	12	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10836	RT	n/a	60.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10846	IM	n/a	4.00	10	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10846	RT	n/a	50.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10844	IM	n/a	3.75	12	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10844	RT	n/a	60.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10853	IM	n/a	3.67	9	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10853	RT	n/a	50.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10849	IM	n/a	3.58	12	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10849	RT	n/a	60.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10847	IM	n/a	3.57	7	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10847	RT	n/a	35.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10845	IM	n/a	3.55	11	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10845	RT	n/a	55.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10848	IM	n/a	3.50	8	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10848	RT	n/a	40.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10852	IM	n/a	3.27	11	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10852	RT	n/a	55.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10851	IM	n/a	3.25	8	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	10851	RT	n/a	40.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	20473	IM	n/a	2.86	7	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.01	20473	RT	n/a	35.00	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
13-1041.03	10865	IM	n/a	4.73	100	0.0689	4.5943	4.8677	N	07/2015	Incumbent
13-1041.03	10865	RT	n/a	97.25	107	1.2342	93.4061	98.8809	N	07/2015	Incumbent
13-1041.03	20719	IM	n/a	4.67	94	0.0643	4.5464	4.8017	N	07/2015	Incumbent
13-1041.03	20719	RT	n/a	93.46	106	3.1067	83.9139	97.5105	N	07/2015	Incumbent
13-1041.03	20720	IM	n/a	4.66	101	0.0678	4.5303	4.7993	N	07/2015	Incumbent
13-1041.03	20720	RT	n/a	92.46	108	4.9995	74.7433	98.0688	N	07/2015	Incumbent
13-1041.03	10867	IM	n/a	4.62	100	0.0719	4.4773	4.7626	N	07/2015	Incumbent
13-1041.03	10867	RT	n/a	89.58	107	5.4596	72.9448	96.4836	N	07/2015	Incumbent
13-1041.03	10866	IM	n/a	4.56	103	0.0979	4.3688	4.7574	N	07/2015	Incumbent
13-1041.03	10866	RT	n/a	95.92	109	2.2930	88.0381	98.6862	N	07/2015	Incumbent
13-1041.03	20721	IM	n/a	4.50	90	0.0584	4.3807	4.6130	N	07/2015	Incumbent
13-1041.03	20721	RT	n/a	81.43	107	6.9662	63.7556	91.6158	N	07/2015	Incumbent
13-1041.03	20722	IM	n/a	4.22	84	0.1310	3.9555	4.4767	N	07/2015	Incumbent
13-1041.03	20722	RT	n/a	70.03	107	7.1760	54.2644	82.1543	N	07/2015	Incumbent
13-1041.03	20723	IM	n/a	4.14	95	0.1355	3.8675	4.4055	N	07/2015	Incumbent
13-1041.03	20723	RT	n/a	87.06	106	2.2977	81.7874	90.9782	N	07/2015	Incumbent
13-1041.03	10869	IM	n/a	4.06	85	0.0798	3.9058	4.2233	N	07/2015	Incumbent
13-1041.03	10869	RT	n/a	78.13	105	5.4354	65.5301	87.0344	N	07/2015	Incumbent
13-1041.03	10875	IM	n/a	4.01	86	0.1078	3.7922	4.2210	N	07/2015	Incumbent
13-1041.03	10875	RT	n/a	75.53	104	4.8190	64.7908	83.8077	N	07/2015	Incumbent
13-1041.03	10871	IM	n/a	3.98	84	0.1272	3.7304	4.2364	N	07/2015	Incumbent
13-1041.03	10871	RT	n/a	80.94	108	5.1304	68.7197	89.1466	N	07/2015	Incumbent
13-1041.03	10870	IM	n/a	4.21	69	0.1220	3.9643	4.4513	N	07/2015	Incumbent
13-1041.03	10870	RT	n/a	60.60	105	5.7145	48.8973	71.1999	N	07/2015	Incumbent
13-1041.03	10879	IM	n/a	3.99	58	0.1812	3.6315	4.3571	N	07/2015	Incumbent
13-1041.03	10879	RT	n/a	41.74	106	7.5186	27.9619	56.9479	N	07/2015	Incumbent
13-1041.03	10874	IM	n/a	3.61	65	0.1626	3.2898	3.9395	N	07/2015	Incumbent
13-1041.03	10874	RT	n/a	58.44	109	4.9920	48.3355	67.8786	N	07/2015	Incumbent
13-1041.03	10873	IM	n/a	3.57	50	0.1730	3.2221	3.9174	N	07/2015	Incumbent
13-1041.03	10873	RT	n/a	46.76	108	5.4305	36.3000	57.5055	N	07/2015	Incumbent
13-1041.03	10876	IM	n/a	3.54	58	0.1545	3.2266	3.8455	N	07/2015	Incumbent
13-1041.03	10876	RT	n/a	53.18	105	4.6929	43.8692	62.2704	N	07/2015	Incumbent
13-1041.03	10878	IM	n/a	3.26	41	0.1412	2.9706	3.5414	N	07/2015	Incumbent
13-1041.03	10878	RT	n/a	40.22	107	5.3068	30.2855	51.0352	N	07/2015	Incumbent
13-1041.03	10880	IM	n/a	2.65	40	0.2217	2.2008	3.0975	N	07/2015	Incumbent
13-1041.03	10880	RT	n/a	34.77	106	4.9925	25.6210	45.1950	N	07/2015	Incumbent
13-1041.04	12890	IM	n/a	4.22	43	0.1838	3.8506	4.5923	N	07/2016	Incumbent
13-1041.04	12890	RT	n/a	79.17	52	9.6039	54.1403	92.4425	N	07/2016	Incumbent
13-1041.04	12891	IM	n/a	4.07	42	0.1497	3.7690	4.3736	N	07/2016	Incumbent
13-1041.04	12891	RT	n/a	91.37	51	4.7757	75.8264	97.2769	N	07/2016	Incumbent
13-1041.04	20843	IM	n/a	3.97	41	0.1611	3.6457	4.2967	N	07/2016	Incumbent
13-1041.04	20843	RT	n/a	73.00	52	10.7788	47.4228	89.0196	N	07/2016	Incumbent
13-1041.04	20844	IM	n/a	4.17	33	0.2206	3.7211	4.6197	N	07/2016	Incumbent
13-1041.04	20844	RT	n/a	64.60	52	13.3763	36.0603	85.5185	N	07/2016	Incumbent
13-1041.04	12894	IM	n/a	3.88	22	0.1729	3.5181	4.2371	N	07/2016	Incumbent
13-1041.04	12894	RT	n/a	43.37	52	9.0206	26.8168	61.5557	N	07/2016	Incumbent
13-1041.04	12893	IM	n/a	3.85	31	0.1382	3.5678	4.1323	N	07/2016	Incumbent
13-1041.04	12893	RT	n/a	55.99	52	13.5661	29.6384	79.3463	N	07/2016	Incumbent
13-1041.04	12900	IM	n/a	3.79	11	0.2357	3.2619	4.3125	N	07/2016	Incumbent
13-1041.04	12900	RT	n/a	25.37	52	16.5589	5.5455	66.3021	N	07/2016	Incumbent
13-1041.04	12898	IM	n/a	3.72	12	0.1556	3.3786	4.0633	N	07/2016	Incumbent
13-1041.04	12898	RT	n/a	32.20	51	10.2101	15.6595	54.8556	N	07/2016	Incumbent
13-1041.04	20845	IM	n/a	3.61	21	0.1218	3.3534	3.8617	N	07/2016	Incumbent
13-1041.04	20845	RT	n/a	48.94	52	13.0042	25.2120	73.1484	N	07/2016	Incumbent
13-1041.04	12899	IM	n/a	3.58	19	0.0845	3.4025	3.7575	N	07/2016	Incumbent
13-1041.04	12899	RT	n/a	43.64	52	6.7470	30.8645	57.3211	N	07/2016	Incumbent
13-1041.04	12896	IM	n/a	3.50	28	0.2660	2.9505	4.0421	N	07/2016	Incumbent
13-1041.04	12896	RT	n/a	58.29	52	17.2000	25.2474	85.2599	N	07/2016	Incumbent
13-1041.04	12895	IM	n/a	3.34	27	0.2207	2.8898	3.7970	N	07/2016	Incumbent
13-1041.04	12895	RT	n/a	62.17	52	16.5921	28.5058	87.1370	N	07/2016	Incumbent
13-1041.04	12892	IM	n/a	2.97	9	0.4701	1.8906	4.0587	Y	07/2016	Incumbent
13-1041.04	12892	RT	n/a	25.96	51	6.9380	14.5171	41.9944	N	07/2016	Incumbent
13-1041.06	8915	IM	n/a	5.00	17	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8915	RT	n/a	85.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8912	IM	n/a	5.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8912	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8921	IM	n/a	5.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8921	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8916	IM	n/a	4.90	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8916	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8923	IM	n/a	4.85	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8923	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8920	IM	n/a	4.85	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8920	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8913	IM	n/a	4.84	19	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8913	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8918	IM	n/a	4.80	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8918	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8919	IM	n/a	4.80	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8919	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8928	IM	n/a	4.75	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8928	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8924	IM	n/a	4.74	19	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8924	RT	n/a	100.00	20	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8917	IM	n/a	4.74	19	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
13-1041.06	8917	RT	n/a	100.00	19	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
