styrk08,styrk08_name,eloundou_beta,eloundou_q,felten_aioe,felten_q,felten_aioe_lm,felten_lm_q,handa_overall,handa_overall_q,handa_automation,handa_automation_q,handa_augmentation,handa_augmentation_q,anthropic2026_job_exposure,anthropic2026_q,mouchel_grounded,mouchel_grounded_q,mouchel_calibrated,mouchel_calibrated_q,relational,relational_q,ai_exposure_z,relational_z,exposure_relational_interaction,quadrant
2511,Systemanalytikere/-arkitekter,0.62602,5.0,1.17621,5.0,1.007026,5.0,1.37867232,5.0,0.199444,2.0,0.800556,5.0,0.30835,5.0,0.743625,5.0,0.742,5.0,-0.180944,3.0,1.2961380812565593,-0.23237951344014557,-0.3011959366736431,exposed_transactional
2512,Programvareutviklere,0.872807,5.0,1.242115,5.0,1.023686,5.0,5.2910773,5.0,0.27050615,3.0,0.72949385,4.0,0.40375,5.0,0.742066,5.0,0.706489,5.0,-0.818859,1.0,1.9102987421937898,-0.955596694874382,-1.8254751642630747,exposed_transactional
2513,Nett- og multimediautviklere,0.841346,5.0,1.089463,5.0,0.788787,4.0,4.49618749,5.0,0.33980446,4.0,0.66019554,4.0,0.3646,5.0,0.820611,5.0,0.788688,5.0,-0.337826,3.0,1.755022872637762,-0.41023982062490516,-0.7199802684635213,exposed_transactional
2514,Applikasjonsprogrammerere,0.95,5.0,1.271506,5.0,1.024722,5.0,7.5065014,5.0,0.26860058,3.0,0.73139942,4.0,0.7451,5.0,0.821561,5.0,0.84141,5.0,-0.750205,2.0,2.1070869579941838,-0.8777622618007185,-1.8495214140597702,exposed_transactional
2519,Andre programvare- og applikasjonsutviklere,0.764845,5.0,1.232705,5.0,1.043586,5.0,7.13115579,5.0,0.22795605,3.0,0.77204395,5.0,0.41445,5.0,0.730206,5.0,0.68918,5.0,-0.423315,2.0,1.6519862003214523,-0.5071604348503607,-0.8378220397218228,exposed_transactional
2521,Databasedesignere og -administratorer,0.923365,5.0,1.284863,5.0,0.995983,4.0,0.8980769,5.0,0.19412183,2.0,0.80587817,5.0,0.4551,5.0,0.690622,5.0,0.665107,5.0,-0.585731,2.0,2.051726460976231,-0.6912947501428729,-1.4183477312020845,exposed_transactional
2522,Systemadministratorer,0.72973,5.0,0.789532,4.0,0.474954,4.0,3.00389468,5.0,0.09139518,1.0,0.90860482,5.0,0.3373,5.0,0.562584,5.0,0.509591,5.0,-0.485803,2.0,1.333097014698521,-0.578004348590377,-0.7705358715885948,exposed_transactional
2523,Nettverksansvarlige,0.635223,5.0,0.580331,4.0,0.495418,4.0,0.26365089,5.0,0.21219282,2.0,0.78780718,5.0,0.1987,5.0,0.545448,5.0,0.523283,5.0,-0.067039,3.0,0.9997301023607321,-0.10324310333650058,-0.10321523826663936,exposed_relational
2529,Sikkerhetsanalytikere mv.,0.70851,5.0,1.241426,5.0,1.044148,5.0,3.64440612,5.0,0.23095378,3.0,0.76904622,5.0,0.450175,5.0,0.685686,5.0,0.636845,5.0,-0.564909,2.0,1.5244721599362,-0.6676884261783577,-1.017872417220523,exposed_transactional
2611,Jurister og advokater,0.425,4.0,1.328783,5.0,1.454044,5.0,0.11595709,4.0,0.1798419,2.0,0.8201581,5.0,0.1673,4.0,0.634897,5.0,0.557233,5.0,1.475399,5.0,0.9059457174142755,1.6454501597111792,1.4906885254089786,exposed_relational
2612,Dommere,0.458333,4.0,1.435604,5.0,1.596706,5.0,0.11621386,4.0,0.36068059,4.0,0.63931941,3.0,0.30785,5.0,0.452426,4.0,0.398624,4.0,0.76138,4.0,1.0411551459771964,0.8359523290119606,0.8703560691424251,exposed_relational
2619,Andre juridiske yrker,0.5,4.0,1.431593,5.0,1.647241,5.0,0.1120542,4.0,0.30641822,3.0,0.69358178,4.0,0.2426,5.0,0.495699,4.0,0.412813,4.0,1.003091,5.0,1.136769998075353,1.1099849950280454,1.2617976406617017,exposed_relational
2621,Arkivarer og kuratorer,0.5,4.0,0.706613,4.0,0.674377,4.0,0.5320777,5.0,0.41644092,5.0,0.58355908,3.0,0.27355,5.0,0.517083,5.0,0.475502,5.0,0.086684,3.0,0.7498741964826399,0.071035781439081,0.05326789952814729,exposed_relational
2622,Bibliotekarer og andre informasjonsarbeidere,0.535088,5.0,0.743955,4.0,0.624949,4.0,0.33467333,5.0,0.35113381,4.0,0.64886619,3.0,0.2032,5.0,0.484893,4.0,0.393805,4.0,0.258876,4.0,0.8521226004304359,0.266253346327074,0.22688049384553172,exposed_relational
2631,"Rådgivere/forskere, samfunnsøkonomi",0.552632,5.0,1.403764,5.0,1.330122,5.0,0.23427646,5.0,0.22951629,3.0,0.77048371,5.0,0.2418,5.0,0.833331,5.0,0.79446,5.0,-0.488692,2.0,1.2453991382502179,-0.5812796665201381,-0.723925195766554,exposed_transactional
2632,"Rådgivere/forskere, samfunnsvitenskap",0.492706,4.0,1.18133,5.0,1.283155,5.0,0.24533467,5.0,0.28811295,3.0,0.71188705,4.0,0.209433,5.0,0.472497,4.0,0.449426,5.0,0.132324,3.0,0.986101089903449,0.12277877566348167,0.12107228449877033,exposed_relational
2633,"Rådgivere/forskere, humanistiske fag",0.492036,4.0,1.281944,5.0,1.420684,5.0,0.29189553,5.0,0.34992512,4.0,0.65007488,3.0,0.1709,4.0,0.716736,5.0,0.686765,5.0,0.195652,3.0,1.0382232760741996,0.19457501445057293,0.20201230894505856,exposed_relational
2634,Psykologer,0.441462,4.0,1.41623,5.0,1.460985,5.0,0.25457837,5.0,0.14575033,2.0,0.85424967,5.0,0.0702,4.0,0.421311,4.0,0.317694,4.0,1.406394,5.0,0.9912347103858801,1.5672177908142737,1.5534806729893853,exposed_relational
2635,Rådgivere innen sosiale fagfelt,0.271629,3.0,0.94997,4.0,1.156169,5.0,0.09645729,4.0,0.09320348,1.0,0.76393938,5.0,0.0165,3.0,0.263841,3.0,0.189607,3.0,1.872635,5.0,0.34396153115565864,2.09580467447288,0.7208761848348785,exposed_relational
2636,Geistlige yrker,0.386364,3.0,1.246741,5.0,1.41257,5.0,0.51343623,5.0,0.26943235,3.0,0.73056765,4.0,0.1323,4.0,0.356615,4.0,0.266892,4.0,1.909677,5.0,0.7715185286250841,2.1377999416082933,1.649352265444421,exposed_relational
2641,Forfattere mv.,0.741399,5.0,1.10005,5.0,1.225771,5.0,1.28049223,5.0,0.39799704,5.0,0.60200296,3.0,0.3223,5.0,0.763677,5.0,0.733752,5.0,-0.307198,3.0,1.5261860860751537,-0.3755162354560852,-0.5731076536483986,exposed_transactional
2642,Journalister,0.648529,5.0,1.15745,5.0,1.330685,5.0,0.51923922,5.0,0.39682689,5.0,0.60317311,3.0,0.2279,5.0,0.700911,5.0,0.623772,5.0,0.223298,3.0,1.3389351399330094,0.22591784570227716,0.3024893423487425,exposed_relational
2643,"Oversettere, tolker mv.",0.701628,5.0,1.219683,5.0,1.218392,5.0,0.47502352,5.0,0.51613003,5.0,0.48386997,2.0,0.23155,5.0,0.637101,5.0,0.621755,5.0,0.314972,4.0,1.4967227700977834,0.3298505199469683,0.4936947839332205,exposed_relational
2651,"Skulptører, kunstmalere og andre billedkunstnere",0.34181,3.0,-0.749289,2.0,-0.807914,2.0,0.42125599,5.0,0.52375185,5.0,0.47624815,2.0,0.2052,5.0,0.243276,3.0,0.183481,3.0,-0.689366,2.0,-0.3982196307540869,-0.8087878528257336,0.32207520011065444,shielded_transactional
2652,"Dirigenter, komponister, musikere og sangere",0.559345,5.0,0.439479,4.0,0.66109,4.0,0.12242768,4.0,0.4399799,5.0,0.5600201,2.0,0.0184,3.0,0.325441,4.0,0.255929,4.0,0.305797,4.0,0.7465442870195057,0.31944863624826375,0.2384825543873135,exposed_relational
2653,Koreografer og dansere,0.146131,2.0,-2.122764,1.0,-1.339575,1.0,0.08452851,4.0,0.56603774,5.0,0.43396226,2.0,0.04005,3.0,0.078792,1.0,0.04506,1.0,0.366451,4.0,-1.5902784568382284,0.38821330696883344,-0.6173672587304619,shielded_relational
2654,Regissører,0.499121,4.0,0.982343,4.0,0.747919,4.0,0.18357305,4.0,0.5283512,5.0,0.4716488,2.0,0.175067,4.0,0.487084,4.0,0.419198,4.0,0.364051,4.0,0.8949591687051461,0.3854923782629052,0.3449999383923394,exposed_relational
2655,Skuespillere,0.1875,2.0,0.159093,3.0,0.578402,4.0,1.04299759,5.0,0.68872261,5.0,0.31127739,1.0,0.1011,4.0,0.0992,2.0,0.068716,2.0,0.224169,3.0,-0.27547704918994914,0.22690531607847025,-0.0625072069188097,shielded_relational
2656,Programledere i TV og radio,0.65,5.0,0.892646,4.0,1.042157,5.0,0.03084657,3.0,0.66026656,5.0,0.33973344,1.0,0.1366,4.0,0.486287,4.0,0.39851,4.0,0.559523,4.0,1.2010698790139367,0.6071029515984014,0.7291730686252959,exposed_relational
2659,Andre utøvende kunstneriske yrker,0.526316,5.0,,,,,,,,,,,,,0.359023,4.0,0.264903,4.0,,,0.8787761493930131,,,
3112,Bygningsingeniører,0.425714,4.0,0.15467,3.0,-0.091491,3.0,0.07346175,3.0,0.15432065,2.0,0.34567935,1.0,0.02514,3.0,0.366267,4.0,0.311964,4.0,0.255669,4.0,0.2810388788955174,0.2626175053437774,0.07380572928015275,exposed_relational
3113,Elkraftingeniører,0.396508,3.0,0.023737,3.0,-0.245226,3.0,0.1233007,4.0,0.40495062,5.0,0.59504938,3.0,0.0101,2.0,0.262879,3.0,0.219833,3.0,-0.730763,2.0,0.1426441387762445,-0.8557204718421121,-0.12206350973911965,exposed_transactional
3114,Elektronikkingeniører,0.40566,4.0,0.351525,3.0,0.078001,3.0,0.20613453,5.0,0.39247005,4.0,0.60752995,3.0,0.0202,3.0,0.333882,4.0,0.308864,4.0,-0.588387,2.0,0.3390444295341828,-0.6943059112441,-0.23540055159996684,exposed_transactional
3115,Maskiningeniører,0.356357,3.0,0.040445,3.0,-0.180158,3.0,0.25533156,5.0,0.33502683,4.0,0.66497317,4.0,0.017075,3.0,0.255845,3.0,0.179834,3.0,-0.701373,2.0,0.05736192304660701,-0.8224004323974334,-0.04717447031667791,exposed_transactional
3116,Kjemiingeniører,0.334387,3.0,0.194128,3.0,-0.079292,3.0,0.68762864,5.0,0.27832726,3.0,0.72167274,4.0,0.0,1.0,0.273859,3.0,0.235066,4.0,-0.730166,2.0,0.08783297964034593,-0.8550436408265124,-0.07510103069632233,exposed_transactional
3117,"Ingeniører innen petroleum, bergverk og metallurgi",0.389754,3.0,0.138697,3.0,-0.052914,3.0,0.36250714,5.0,0.45140853,5.0,0.54859147,2.0,0.1145,4.0,0.336179,4.0,0.288837,4.0,-0.743178,2.0,0.18814853496921297,-0.8697956092938196,-0.1636507696112861,exposed_transactional
3118,Tekniske tegnere,0.509867,4.0,0.526379,4.0,0.228194,3.0,0.13842442,4.0,0.40438204,5.0,0.34561796,1.0,0.11135,4.0,0.471553,4.0,0.402571,4.0,-0.702369,2.0,0.6768388510470615,-0.8235296178103936,-0.5573968403220125,exposed_transactional
3119,Andre ingeniører,0.363616,3.0,0.136338,3.0,-0.07607,3.0,0.10908851,4.0,0.2831878,3.0,0.5918122,3.0,0.01984,3.0,0.298619,3.0,0.219043,3.0,0.033853,3.0,0.12556698973456842,0.011140204579543065,0.0013988419540804761,exposed_relational
3121,"Arbeidsleder, bergfag",0.416667,4.0,-0.305405,3.0,-0.359874,3.0,0.02701215,2.0,0.375,4.0,0.625,3.0,0.0296,3.0,0.281957,3.0,0.162955,3.0,0.486116,4.0,0.014288106491450209,0.523879945966706,0.007485252456707476,exposed_relational
3122,"Arbeidsleder, industri",0.4,3.0,-0.084528,3.0,-0.037023,3.0,0.00328665,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.377326,4.0,0.294061,4.0,0.520547,4.0,0.09305961188202277,0.5629150694141279,0.05238465788222066,exposed_relational
3123,"Arbeidsleder, bygg og anlegg",0.416667,4.0,-0.305405,3.0,-0.359874,3.0,0.02701215,2.0,0.375,4.0,0.625,3.0,0.0296,3.0,0.281957,3.0,0.162955,3.0,0.486116,4.0,0.014288106491450209,0.523879945966706,0.007485252456707476,exposed_relational
3131,Energikontrolloperatører,0.312103,3.0,0.209736,3.0,0.046815,3.0,0.0100996,1.0,0.36568753,4.0,0.30097914,1.0,0.006425,2.0,0.274222,3.0,0.189591,3.0,-0.312271,3.0,0.04388168653298119,-0.3812675985082408,-0.01673066524292115,exposed_transactional
3132,Kontrolloperatører ved forbrennings- kjøle- og vannrenseanlegg mv.,0.217399,2.0,-0.510517,2.0,-0.594645,2.0,0.01720355,2.0,0.1171875,1.0,0.3828125,2.0,0.0,1.0,0.156686,2.0,0.111779,2.0,-0.221904,3.0,-0.5626775168455616,-0.2788166966879863,0.15688388654747823,shielded_transactional
3133,Kontrolloperatører innen kjemisk prosessindustri,0.151515,2.0,-0.383128,2.0,-0.560149,2.0,0.00503268,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.127453,2.0,0.09888,2.0,-1.212162,1.0,-0.6492657128948764,-1.4014922877192428,0.9099408893027054,shielded_transactional
3134,Kontrolloperatører ved olje- og naturgassraffineringsanlegg,0.202026,2.0,-0.550384,2.0,-0.76728,2.0,0.02485528,2.0,0.29076087,3.0,0.70923913,4.0,0.0282,3.0,0.166585,2.0,0.116168,3.0,-0.903067,1.0,-0.6200198576418827,-1.0510650134030484,0.6516811799825216,shielded_transactional
3135,Kontrolloperatører innen metallproduksjon,0.104167,1.0,-1.167465,1.0,-1.303524,1.0,,,,,,,0.0,1.0,0.075385,1.0,0.053457,2.0,-1.088253,1.0,-1.1789218462254325,-1.2610141397930539,1.4866371178012028,shielded_transactional
3139,Andre prosesskontrolloperatører,0.803571,5.0,-0.024182,3.0,-0.341184,3.0,0.8479555,5.0,0.36104279,4.0,0.63895721,3.0,0.1207,4.0,0.484721,4.0,0.405981,4.0,-1.026578,1.0,1.0720861949050502,-1.1910919406521707,-1.2769532264358576,exposed_transactional
3141,Bioteknikere (ikke-medisinske laboratorier),0.436111,4.0,0.15909,3.0,-0.005048,3.0,0.10137259,4.0,0.2940286,3.0,0.7059714,4.0,0.10215,4.0,0.283214,3.0,0.241011,4.0,-0.627401,2.0,0.3077901832572207,-0.7385368747995507,-0.22731440003676875,exposed_transactional
3142,Agroteknikere,0.383433,3.0,0.095719,3.0,-0.049232,3.0,0.16998139,4.0,0.37855114,4.0,0.62144886,3.0,0.1048,4.0,0.322509,4.0,0.257248,4.0,-0.644063,2.0,0.15038295578878058,-0.757426922340457,-0.1139040993755571,exposed_transactional
3143,Skogteknikere,0.326923,3.0,-0.66724,2.0,-0.761146,2.0,0.09562095,4.0,0.15241228,2.0,0.84758772,5.0,0.0221,3.0,0.137104,2.0,0.092476,2.0,0.139157,3.0,-0.3893595691186279,0.130525486433318,-0.050821347156676,shielded_relational
3151,Skipsmaskinister,0.251255,2.0,-0.189935,3.0,-0.249708,3.0,0.01366014,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.208129,3.0,0.132873,3.0,0.147552,3.0,-0.3121645002035767,0.14004306830259589,-0.0437164744236552,shielded_relational
3152,Dekksoffiserer og loser,0.297135,3.0,-0.140781,3.0,-0.362623,3.0,0.01299254,2.0,0.0,1.0,0.5,2.0,0.0,1.0,0.228483,3.0,0.15711,3.0,0.530607,4.0,-0.17829323326519395,0.5743202955731436,-0.10239742242755762,shielded_relational
3153,Flygere,0.307181,3.0,-0.080724,3.0,-0.445024,2.0,0.00554622,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.208952,3.0,0.138778,3.0,0.31452,4.0,-0.12267394391282015,0.3293380783740186,-0.04040120095481032,shielded_relational
3154,Flygeledere,0.335772,3.0,0.649711,4.0,0.357716,4.0,0.01109244,2.0,0.27,3.0,0.23,1.0,0.0,1.0,0.256124,3.0,0.189764,3.0,0.63248,4.0,0.3342106355998885,0.6898157830977354,0.23054377131592896,exposed_relational
3155,Teknikere innen luftfartssikkerhet,0.40566,4.0,0.351525,3.0,0.078001,3.0,0.20613453,5.0,0.39247005,4.0,0.60752995,3.0,0.0202,3.0,0.333882,4.0,0.308864,4.0,-0.588387,2.0,0.3390444295341828,-0.6943059112441,-0.23540055159996684,exposed_transactional
3211,Radiografer mv.,0.314571,3.0,-0.205226,3.0,-0.230912,3.0,0.01511859,2.0,0.15549717,2.0,0.44450283,2.0,0.01806,3.0,0.194609,3.0,0.142088,3.0,0.69824,4.0,-0.17177843681399993,0.7643692296401671,-0.13130215141630924,shielded_relational
3212,Bioingeniører,0.254297,2.0,0.077238,3.0,-0.162569,3.0,0.10619985,4.0,0.33950235,4.0,0.66049765,4.0,,,0.173993,3.0,0.144962,3.0,-0.369108,2.0,-0.16244699313744987,-0.4457048588660905,0.07240341414954787,shielded_transactional
3213,Reseptarer,0.426471,4.0,0.007026,3.0,-0.023386,3.0,0.01735762,2.0,0.50684932,5.0,0.49315068,2.0,0.0735,4.0,0.389084,4.0,0.34241,4.0,0.071089,3.0,0.20402258154579325,0.053355413452018594,0.010885709191923977,exposed_relational
3214,Protese- og tannteknikere,0.163865,2.0,0.03446,3.0,-0.100386,3.0,0.00195145,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.073253,1.0,0.030475,1.0,0.435139,4.0,-0.3974395248507638,0.46608628653249756,-0.18524111225893278,shielded_relational
3230,Yrker innen alternativ medisin,0.358012,3.0,0.229557,3.0,0.278595,3.0,0.06696548,3.0,0.09942639,1.0,0.90057361,5.0,0.1021,4.0,0.303186,3.0,0.233876,4.0,1.18219,5.0,0.16216702152934068,1.3130331659876409,0.2129306776974561,exposed_relational
3240,Dyrepleiere,0.193078,2.0,-0.56795,2.0,-0.435956,2.0,0.02187676,2.0,0.17081851,2.0,0.82918149,5.0,0.00895,2.0,0.128107,2.0,0.078299,2.0,0.234523,3.0,-0.6503871964476384,0.23864385600396204,-0.1552109084558708,shielded_relational
3251,Tannpleiere,0.227083,2.0,-0.471692,2.0,-0.349161,3.0,0.00955182,1.0,0.22222222,2.0,0.77777778,5.0,0.0,1.0,0.095051,2.0,0.063117,2.0,0.479965,4.0,-0.5192382756707556,0.5169064324374709,-0.26839760466195434,shielded_relational
3254,Optikere,0.285714,3.0,0.101397,3.0,0.028575,3.0,,,,,,,0.0,1.0,0.20872,3.0,0.15762,3.0,1.022553,5.0,-0.07584645405780728,1.1320494593925348,-0.08586193731298146,shielded_relational
3256,Helsesekretærer,0.343961,3.0,0.114263,3.0,0.159275,3.0,0.00492997,1.0,0.0,1.0,1.0,5.0,0.0238,3.0,0.136021,2.0,0.105249,2.0,0.616258,4.0,0.06767355626187783,0.6714245724862492,0.04543768858175546,exposed_relational
3257,Helse- og miljøkontrollører,0.357678,3.0,0.133259,3.0,0.017763,3.0,0.01232493,2.0,0.19,2.0,0.31,1.0,0.0,1.0,0.254918,3.0,0.160966,3.0,0.140563,3.0,0.10999263486432567,0.13211949716687424,0.014532171610334309,exposed_relational
3258,Ambulansepersonell,0.18109,2.0,-0.686345,2.0,-0.699447,2.0,0.00236228,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.047453,1.0,0.024136,1.0,,,-0.7416955285036062,,,
3259,Andre helseyrker,0.312237,3.0,-0.141814,3.0,-0.091401,3.0,0.03408615,3.0,0.21622946,2.0,0.65877054,4.0,0.04357,3.0,0.183684,3.0,0.128919,3.0,0.813938,4.0,-0.14341355019029758,0.8955384002311993,-0.12843234130889591,shielded_relational
3311,Finansmeglere,0.571403,5.0,1.286246,5.0,1.25927,5.0,0.23037357,5.0,0.15370752,2.0,0.84629248,5.0,0.3354,5.0,0.508772,4.0,0.404659,4.0,0.908765,4.0,1.226722837029087,1.0030456945633037,1.2304590601045071,exposed_relational
3312,Kundebehandlere lån og kreditt,0.607955,5.0,1.38556,5.0,1.416389,5.0,0.31115324,5.0,0.18171628,2.0,0.81828372,5.0,0.2099,5.0,0.619494,5.0,0.498,5.0,0.486588,4.0,1.3654781782975247,0.5244150619455386,0.7160773234571776,exposed_relational
3313,Regnskapsførere,0.802326,5.0,1.039749,4.0,0.818112,4.0,0.11328669,4.0,0.49820789,5.0,0.50179211,2.0,0.3104,5.0,0.703602,5.0,0.731023,5.0,-0.587207,2.0,1.6369470706153415,-0.6929681212970187,-1.1343521361869713,exposed_transactional
3315,Takstmenn,0.517083,5.0,0.92628,4.0,0.772072,4.0,0.02006225,2.0,0.37509787,4.0,0.62490213,3.0,0.0409,3.0,0.502537,4.0,0.391127,4.0,0.282711,4.0,0.9071811916997419,0.2932755695378231,0.26605408066974284,exposed_relational
3321,Forsikringsagenter,0.561408,5.0,1.328035,5.0,1.315853,5.0,0.02358856,2.0,0.30046033,3.0,0.69953967,4.0,0.2036,5.0,0.503973,4.0,0.420357,4.0,0.555591,4.0,1.225574753565374,0.6026451634018557,0.7385866976235939,exposed_relational
3322,Selgere (engros),0.572343,5.0,1.083134,5.0,1.123128,5.0,0.09451684,4.0,0.12011505,1.0,0.62988495,3.0,0.376,5.0,0.520868,5.0,0.431034,4.0,1.219638,5.0,1.1205345973879306,1.3554887235624733,1.518872011120956,exposed_relational
3323,Innkjøpere,0.489376,4.0,1.032237,4.0,1.007898,5.0,0.01876129,2.0,0.2404567,3.0,0.42620996,2.0,,,0.604783,5.0,0.495718,5.0,0.695685,4.0,0.8987229603791591,0.7614725742886478,0.6843528862122327,exposed_relational
3324,Handels- og skipsmeglere,0.556703,5.0,1.325969,5.0,1.257692,5.0,0.17032375,4.0,0.21093729,2.0,0.78906271,5.0,0.2291,5.0,0.569977,5.0,0.470226,5.0,0.737945,4.0,1.2134337544596516,0.8093835939188663,0.982133373167016,exposed_relational
3331,Speditører og befraktere,0.513651,4.0,0.329547,3.0,0.258511,3.0,0.028296,3.0,0.3644528,4.0,0.6355472,3.0,0.00825,2.0,0.554879,5.0,0.461634,5.0,-0.041961,3.0,0.5806743597322653,-0.07481166580013948,-0.043441216139000205,exposed_relational
3332,Konferanse- og arrangementsplanleggere mv.,0.486486,4.0,0.374021,4.0,0.513068,4.0,0.0526891,3.0,0.38902743,4.0,0.61097257,3.0,0.1023,4.0,0.445005,4.0,0.362182,4.0,1.654365,5.0,0.5406764501449008,1.8483475458716547,0.9993579897359256,exposed_relational
3333,Arbeidsformidlere,0.393651,3.0,0.462324,4.0,0.576535,4.0,0.07949583,4.0,0.45378151,5.0,0.54621849,2.0,0.2017,5.0,0.481696,4.0,0.440695,4.0,0.102357,3.0,0.3699994396475759,0.08880457960908608,0.032857644693500394,exposed_relational
3334,Eiendomsmeglere og - forvaltere,0.47943,4.0,1.136554,5.0,1.130629,5.0,0.06552757,3.0,0.27523835,3.0,0.72476165,4.0,0.234625,5.0,0.439579,4.0,0.337053,4.0,1.140493,5.0,0.9310587853708729,1.2657604308830213,1.1784973693484586,exposed_relational
3339,Andre yrker innen forretningstjenester,0.54374,5.0,1.208237,5.0,1.174073,5.0,0.19862219,5.0,0.30725975,3.0,0.69274025,4.0,0.18975,5.0,0.61755,5.0,0.543798,5.0,0.811253,4.0,1.1201917841395126,0.8924943612414422,0.9997648508535059,exposed_relational
3341,Arbeidsledere for kontorpersonell,0.489583,4.0,1.038688,4.0,1.134282,5.0,0.14317466,4.0,0.53583916,5.0,0.46416084,2.0,0.1856,5.0,0.580246,5.0,0.425648,4.0,1.53546,5.0,0.902651272346191,1.7135425342973258,1.5467313488027978,exposed_relational
3342,Advokatsekretær,0.695652,5.0,1.014541,4.0,1.149438,5.0,0.01807657,2.0,0.75268817,5.0,0.24731183,1.0,0.0,1.0,0.597901,5.0,0.51042,5.0,-0.239398,3.0,1.3732254933351087,-0.29864999951361443,-0.41011379291661315,exposed_transactional
3343,Sjefssekretærer,0.803491,5.0,0.957445,4.0,1.004649,5.0,0.12930911,4.0,0.64709265,5.0,0.35290735,2.0,0.28835,5.0,0.502593,4.0,0.431524,4.0,-0.414801,2.0,1.595757598785308,-0.4975079402660804,-0.793902076135625,exposed_transactional
3351,Tollere,0.402147,3.0,-0.054107,3.0,-0.088192,3.0,0.07100532,3.0,0.24180932,3.0,0.42485735,2.0,0.0815,4.0,0.339242,4.0,0.253029,4.0,1.253132,5.0,0.11433130643062869,1.3934615510942892,0.15931627959746034,exposed_relational
3352,Skattefunksjonærer,0.580645,5.0,1.36682,5.0,1.253237,5.0,0.03019609,3.0,0.08097166,1.0,0.91902834,5.0,0.0275,3.0,0.609559,5.0,0.617366,5.0,0.363655,4.0,1.2914050400889059,0.3850434250264271,0.4972470197322227,exposed_relational
3353,Saksbehandlere innen sosiale ytelser,0.603152,5.0,0.962203,4.0,0.994237,4.0,0.1002428,4.0,0.29354513,3.0,0.70645487,4.0,0.0904,4.0,0.571943,5.0,0.484269,5.0,0.692921,4.0,1.1282793766471144,0.7583389713956539,0.8556182219335022,exposed_relational
3354,"Saksbehandlere for førerkort, importlisenser mv.",0.613152,5.0,0.932194,4.0,0.95401,4.0,0.13223628,4.0,0.35357389,4.0,0.64642611,3.0,0.11155,4.0,0.536814,5.0,0.446374,5.0,0.247516,3.0,1.135725753799027,0.25337428378568067,0.2877636994457808,exposed_relational
3355,Politibetjenter mv.,0.363179,3.0,0.01672,3.0,-0.022535,3.0,0.06373018,3.0,0.1660281,2.0,0.3339719,1.0,0.0187,3.0,0.380933,4.0,0.299523,4.0,1.139157,5.0,0.06070590681792818,1.2642457805700547,0.07674718655024461,exposed_relational
3359,Andre yrker innen offentlig forvaltning,0.291667,3.0,0.170487,3.0,-0.008112,3.0,0.02423904,2.0,0.28,3.0,0.72,4.0,0.0,1.0,0.09486,2.0,0.059416,2.0,-0.039222,3.0,-0.025009206411401114,-0.07170640591449898,0.0017933203065354185,shielded_relational
3411,Privatetterforskere mv.,0.412629,4.0,0.833561,4.0,0.851062,4.0,0.0448833,3.0,0.51111522,5.0,0.48888478,2.0,0.080783,4.0,0.507811,4.0,0.504841,5.0,-0.091007,3.0,0.6126397820596913,-0.13041611134636988,-0.07989809803231247,exposed_transactional
3412,Miljøarbeidere innen sosiale fagfelt,0.392857,3.0,0.465226,4.0,0.557396,4.0,0.01140056,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.269959,3.0,0.175123,3.0,1.615039,5.0,0.3696853212790492,1.803762861584433,0.6668246529960582,exposed_relational
3413,Religiøse yrker,,,,,,,,,,,,,,,,,,,,,,,,
3421,Idrettsutøvere,0.0,1.0,-1.814336,1.0,-1.290383,1.0,,,,,,,0.0,1.0,0.028962,1.0,0.016444,1.0,0.374455,4.0,-1.7685209523612215,0.39728760420310383,-0.7026114521465813,shielded_relational
3422,Trenere og idrettsdommere,0.324167,3.0,0.203552,3.0,0.332712,3.0,0.08336894,4.0,0.13416311,2.0,0.53250356,2.0,0.022067,3.0,0.198948,3.0,0.156602,3.0,0.447086,4.0,0.06888498265150937,0.47963084288654917,0.03303936229136876,exposed_relational
3423,Sports- og aktivitetsinstruktører,0.252751,2.0,-0.371606,2.0,0.025026,3.0,0.10776949,4.0,0.23078661,3.0,0.76921339,5.0,0.04045,3.0,0.240525,3.0,0.169721,3.0,0.662325,4.0,-0.40560601046697486,0.7236516652762462,-0.2935174649204809,shielded_relational
3431,Fotografer og filmfotografer,0.385417,3.0,-0.168097,3.0,-0.382139,2.0,0.07045754,3.0,0.47396768,5.0,0.52603232,2.0,0.195,5.0,0.227169,3.0,0.212143,3.0,0.389391,4.0,0.01424850959929469,0.4142208505163301,0.005902029764809941,shielded_relational
3432,Interiørdesignere og dekoratører,0.398727,3.0,0.022778,3.0,-0.024392,3.0,0.03567384,3.0,0.45926319,5.0,0.54073681,2.0,0.0,1.0,0.402424,4.0,0.339287,4.0,0.411037,4.0,0.14733837370729863,0.4387613600032139,0.06464638522847613,exposed_relational
